kAW kPC kAWPC kDAW kDPC kDAWPC tAW tPC tAWPC tDAW tDPC tDAWPC
          NA 1.000000e+00 1.000000e+00 3.185814e-03 9.381737e-02 8.318537e-05 9.381737e-02 1.645712e-01 9.381737e-02 9.381737e-02 1.645712e-01 9.381737e-02
          NA           NA 1.000000e+00 5.473857e-04 2.934750e-05 4.577155e-05 1.000000e+00 1.000000e+00 1.000000e+00 1.000000e+00 1.000000e+00 1.000000e+00
          NA           NA           NA 1.511703e-02 8.810937e-02 3.346360e-04 6.401799e-02 7.524944e-02 6.401799e-02 6.401799e-02 7.524944e-02 6.401799e-02
          NA           NA           NA           NA 1.000000e+00 1.000000e+00 5.719206e-07 3.897150e-06 5.719206e-07 5.719206e-07 3.897150e-06 5.719206e-07
          NA           NA           NA           NA           NA 1.000000e+00 1.992119e-06 1.167215e-05 1.992119e-06 1.992119e-06 1.167215e-05 1.992119e-06
          NA           NA           NA           NA           NA           NA 1.282446e-08 5.400361e-08 1.282446e-08 1.282446e-08 5.400361e-08 1.282446e-08
          NA           NA           NA           NA           NA           NA           NA 1.000000e+00 1.000000e+00          NaN 1.000000e+00 1.000000e+00
          NA           NA           NA           NA           NA           NA           NA           NA 1.000000e+00 1.000000e+00          NaN 1.000000e+00
          NA           NA           NA           NA           NA           NA           NA           NA           NA 1.000000e+00 1.000000e+00          NaN
          NA           NA           NA           NA           NA           NA           NA           NA           NA           NA 1.000000e+00 1.000000e+00
          NA           NA           NA           NA           NA           NA           NA           NA           NA           NA           NA 1.000000e+00
          NA           NA           NA           NA           NA           NA           NA           NA           NA           NA           NA           NA
